shortName,marketCap,actual_price_on_tday,pred_3_months,pred_6_months,pred_12_months,percentage_gain,sector,recommendationKey,numberOfAnalystOpinions,totalCash,totalDebt,totalRevenue,returnOnEquity
RELIANCE INDUSTRIES LTD.,largecap,2902.949951171875,2901.5048910752853,3002.6962789813533,3174.466341040562,9.353119910285743,Energy,none,,1729339981824,3166970052608,8773649825792,
TATA CONSULTANCY SERVICES LTD.,largecap,4135.5498046875,3858.519729260137,3995.5385775606787,4216.57429815965,1.9592193855412408,Technology,none,,430190002176,75479998464,2388180074496,0.45523998
HDFC BANK LTD.,largecap,1403.6500244140625,1682.0637078895722,1722.5648589938075,1814.864327671126,29.296070680347835,Financial Services,none,,1859521347584,7996598386688,1933223657472,0.16839
HINDUSTAN UNILEVER LTD.,largecap,2417.89990234375,2690.006644904017,2771.7095307046347,2850.2734939631696,17.88219566907239,Consumer Defensive,none,34,121780002816,12720000000,619009998848,
INFOSYS LTD.,largecap,1693.199951171875,1754.2697545138851,1841.2112535563538,1953.7547332931795,15.388305553692744,Technology,none,,2598000128,1051000000,18552000512,0.31604
KOTAK MAHINDRA BANK LTD.,largecap,1730.199951171875,1984.386591039737,2010.9794005240249,2128.5005332307037,23.020494353213756,Financial Services,none,34,504824692736,615241613312,646986137600,
ITC LTD.,largecap,414.45001220703125,377.26493592145295,390.62057558393053,376.00405510846497,-9.276379772275474,Consumer Defensive,none,,186688995328,2840600064,705931902976,
ICICI BANK LTD.,largecap,989.5999755859375,1040.0377016050586,1084.7895303631633,1143.0054265703382,15.50176382063571,Financial Services,none,,649351331840,2009669435392,1380848893952,0.1908
STATE BANK OF INDIA,largecap,699.4000244140625,621.5864409005861,651.0556507360386,646.0674423924315,-7.625476145259144,Financial Services,none,,3622552469504,5478991527936,2960213147648,
ASIAN PAINTS LTD.,largecap,2929.949951171875,3690.754839666837,3845.9243187074776,3988.6106324252796,36.1323810609795,Basic Materials,none,,39988899840,23267700736,354908110848,
HDFC LIFE INSURANCE COMPANY LI,largecap,591.7999877929688,629.4345826063108,700.810658821665,705.9846965176914,19.29447635687824,Financial Services,none,19,10855499776,9500000256,950420504576,0.0953
BAJAJ FINSERV LTD.,largecap,1570.699951171875,1778.2077845070853,1878.7989956998028,1874.8428242813125,19.363524706454672,Financial Services,buy,13,81924898816,1967311945728,1005218103296,
BAJAJ FINANCE LIMITED,largecap,6577.89990234375,8108.903169166098,8518.551701469136,8866.421887693246,34.79107343263282,Financial Services,none,25,76568903680,2017416445952,301745700864,
LARSEN & TOUBRO LTD.,largecap,3337.5,2614.4803370410577,2731.833753744919,2760.571330090661,-17.286252281927762,Industrials,none,33,473520111616,1221087461376,2161507434496,
OIL AND NATURAL GAS CORPORATIO,largecap,273.29998779296875,164.37814692267204,162.95482337817205,157.08981394825366,-42.52110465981691,Energy,none,,507722989568,1434962362368,5914734100480,0.16194001
